Neighborhood,latitude,longitude
Williamsburg,40.7081,-73.9571
Bedford-Stuyvesant,40.6872,-73.9418
Harlem,40.8116,-73.9465
Bushwick,40.6958, -73.9171
Upper West Side,40.787,-73.9754
Hell's Kitchen,40.7638,-73.9918
East Village,40.7265, -73.9815
Upper East Side,40.7736, -73.9566
Crown Heights,40.6694,-73.9422
Midtown,40.7549,-73.984
